question,difficulty_component,difficulty,table_name,column_name
How many sales territories have more than a certain number of producers associated with them as of the most recent reporting period?,HAVING,Easy,SALES_USER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Could you provide an updated list of producers who have more than three unique email contacts associated with them as of the most recent date?,WHERE,Easy,SALESFORCE_POLICY_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales representatives have processed an above-average number of client accounts in their territory as of the most recent update?,JOIN,Easy,SALESFORCE_TRANSACTIONS_PPA,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify which producers have a higher than average number of distinct email addresses associated with their accounts as of the latest update?,LIMIT,Easy,SALESFORCE_TRANSACTIONS_PPA,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can we identify the producers who have a higher than average number of specific email types associated with their records within a certain period?,HAVING,Easy,SALESFORCE_POLICY_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales territories have more than a certain number of producers whose status has been processed up to a certain date?,JOIN,Easy,SALESFORCE_ACCOUNT_CONTACT_ASSOC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales territories have a greater than average number of producers associated primarily with each sales representative's email address?,LIMIT,Easy,SALES_USER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales territories have a count of producers exceeding a certain threshold as of the latest date on record?,OR,Easy,SALESFORCE_AGENT_CONTACT_META,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales territories have more than ten producers whose data processing status is as of the most recent update?,HAVING,Easy,SALESFORCE_STATIC_ESC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify which producers have more than a certain number of email addresses associated with their records as of the latest date in our records?,JOIN,Easy,SALESFORCE_TRANSACTION_PPA_ROLLUP,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many producers have an above-average number of associated art territories based on the latest records available?,ORDER BY,Easy,SALESFORCE_BD_TERRITORY,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have an email count exceeding a specific threshold for any of their associated email types as of the most recent date?,ORDER BY,Easy,SALES_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many salespeople have processed status counts exceeding a specific threshold as of the latest date?,ORDER BY,Easy,SALESFORCE_POLICY_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the unique email addresses that have handled more than a certain number of producers as of the latest date in record?,GROUP BY,Easy,SALESFORCE_AGENT_LICENSE,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many producers have a count of territories assigned that exceeds the average number of territories per producer on the most recent date for which we have records?,LIMIT,Easy,SALES_POLICY_TRANSACTION_PPA_AFFILIATION,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales territories have more than a certain number of producers whose processed status is up-to-date as of the latest reporting period?,LIKE,Easy,SALESFORCE_STATIC_ESC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many producers have exceeded a certain threshold of processed sales within the last quarter?,ORDER BY,Easy,SALESFORCE_TRANSACTIONS,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which salesforce art territories have more than a certain number of producers with a specific status as of the latest date available in the records?,HAVING,Easy,SALES_POLICY_TRANSACTION_PPA_AFFILIATION,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Could you provide the list of producers who have an above-average number of entries as of the most recent update?,OR,Easy,SALESFORCE_POLICY_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify the producers who have a quantity of processed sales records exceeding a certain threshold as of the latest date on record?,JOIN,Easy,SALESFORCE_ACCOUNT_CONTACT_ASSOC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Could you tell me which producers have more than a specific number of territories assigned to them as of the latest update?,WHERE,Easy,SALES_PRODUCT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales representatives have processed a higher number of territories than the average on the last recorded date in the dataset?,JOIN,Easy,SALES_PRODUCT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have an average processed status count exceeding a certain threshold over a specified time frame?,LIMIT,Easy,SALES_ACCOUNT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
"Could you identify which producers have consistently achieved more than a certain threshold of sales over the last quarter, without fluctuations below that level?",WHERE,Easy,SALESFORCE_AGENT_LICENSE,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have processed an above-average number of territories based on the most recent data available?,HAVING and HAVING,Medium,SALESFORCE_TRANSFERS,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the email addresses that have processed more assignments than the average within the last quarter?,LIKE and JOIN,Medium,SALES_INSURANCE_POLICY,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have been processed more than a specific number of times up to the current date?,OR and WHERE,Medium,SALESFORCE_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales territories have more than a specific number of producers with the same processed status as of the latest date in our records?,LIKE and OR,Medium,SALESFORCE_AGENT_CONTACT_META,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify the sales representatives whose number of processed transactions exceeds a certain threshold for the latest reporting period?,GROUP BY and GROUP BY,Medium,SALES_PRODUCT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What is the list of sales territories that have experienced changes more than five times up to the current date?,OR and OR,Medium,SALES_POLICY_TRANSACTION_PPA_AFFILIATION,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales producers have consistently exceeded their territory sales goals in the most recent quarter?,JOIN and LIKE,Medium,SALESFORCE_STATIC_ESC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the unique email addresses that have been associated with more than a certain number of producers as of the latest available date?,HAVING and WHERE,Medium,SALESFORCE_ACCOUNT_CONTACT_ASSOC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales representatives have exceeded the average number of processed sales in their respective territories as of the latest update?,GROUP BY and LIMIT,Medium,SALESFORCE_POLICY,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have a processed status count above a certain threshold within a specific time period?,JOIN and LIKE,Medium,SALESFORCE_ACCOUNT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many sales territories have a higher-than-average number of instances where the processed status was not completed as of the latest available date?,GROUP BY and LIKE,Medium,SALESFORCE_STATIC_ESC,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales territories have consistently met their processing targets every month within the past year?,JOIN and OR,Medium,SALESFORCE_ART_TERRITORY,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
"How many sales territories have more than a certain number of producers as of the latest update, where all contact emails are different for those producers?",LIKE and GROUP BY,Medium,SALES_INSURANCE_POLICY,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have consistently met or exceeded their sales targets every month within the available data period?,LIMIT and WHERE,Medium,SALESFORCE_ACCOUNT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have an above-average number of email addresses recorded on different dates?,GROUP BY and GROUP BY,Medium,SALESFORCE_ACCOUNT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which artists have an above-average number of territories assigned to them as of the latest update?,LIMIT and ORDER BY,Medium,SALES_ACCOUNT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can you identify the sales territories where the number of distinct producers who have been processed exceeds a certain threshold as of the latest date in our records?,LIKE and WHERE,Medium,SALESFORCE_POLICY_PRODUCER,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales territories have been processed more than a specified number of times up to the most recent date?,WHERE and HAVING,Medium,SALESFORCE_AGENT_LICENSE,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
How many producers have processed more than a certain number of updates to their territory information within the last quarter?,OR and GROUP BY,Medium,SALESFORCE_BD_TERRITORY,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which producers have a processed status count exceeding a specific threshold within a certain period?,JOIN and LIMIT,Medium,SALESFORCE_CONTACT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the email addresses of the sales representatives whose number of processed sales territories exceeds a specific threshold as of the most recent date?,GROUP BY and LIKE,Medium,SALES_ACCOUNT,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Which sales representatives have handled more than a certain number of exclusive territories as of the latest recorded date?,OR and OR,Medium,SALES_INSURANCE_POLICY_TRANSACTION,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
Can we identify the producers whose email addresses have been updated more frequently than the average within a certain time frame?,LIMIT and WHERE,Medium,SALESFORCE_AGENT_CONTACT_META,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
What are the distinct territories where a minimum number of producers have exceeded a specific performance threshold as of the latest date recorded?,GROUP BY and LIMIT,Medium,SALESFORCE_TRANSACTIONS_PPA,"['created_on', 'name', 'database_name', 'schema_name', 'kind', 'comment', 'cluster_by', 'rows', 'bytes', 'owner', 'retention_time', 'automatic_clustering', 'change_tracking', 'search_optimization', 'search_optimization_progress', 'search_optimization_bytes', 'is_external', 'enable_schema_evolution', 'owner_role_type', 'is_event', 'budget']"
